"Country","Year","health","gdp","old65"
"AZE",2010,829.34077249,15627.60561988,5.9
"MNE",2010,916.8979996,13661.36952818,13
"TJK",2010,125.69286716,2063.7304109,3.4
"RUS",2011,1489.66040349,24074.36458065,12.73354531
"ITA",2012,3304.59641037,36237.10963931,21.00333685
"TKM",2012,248.8387752,12460.75040472,3.82365152
"CHE",2013,6364.77713727,59788.18930612,17.50058147
"FRA",2013,4369.9330592,39487.83855784,17.95111157
"GBR",2013,3374.14099319,39016.75867934,17.36477878
"IRL",2013,3761.83568795,48310.04700377,12.36855136
"MKD",2013,757.30045098,12666.97732813,12.18149719
"PRT",2013,2634.13398332,27899.50946522,19.61524945
"TUR",2013,1006.95705909,22310.53640193,7.60020005
"ALB",2014,614.53594606,11325.32156783,12.19686757
"ARM",2014,362.12527877,8396.74259485,10.68212336
"AUT",2014,5038.8816446,48615.98961037,18.39897602
"BEL",2014,4391.59514431,44794.77284272,17.9373763
"BGR",2014,1398.87848798,17406.0684737,19.78144328
"BIH",2014,957.39697911,11211.45945693,15.81089022
"BLR",2014,1030.99241079,18902.35594516,14.07325402
"CIS",2014,1231.89,18392.5,11.25
"CZE",2014,2146.32088342,32357.63608074,17.60494254
"CYP",2014,2062.37405757,30482.56227417,14.60747381
"DEU",2014,5182.11404918,47058.15893392,20.91749082
"DNK",2014,4782.05951391,47805.5727094,18.45272788
"ESP",2014,2965.81832471,33658.16480437,18.31978201
"EST",2014,1668.31346668,28543.27272539,18.56665234
"FIN",2014,3701.14112734,41511.75025778,19.66429074
"GEO",2014,627.74076411,9216.32487569,13.92004293
"GRC",2014,2098.05225625,26430.55101849,20.69192661
"HRV",2014,1652.12229359,21980.93428701,18.61848924
"HUN",2014,1826.67506469,25494.30578139,17.71679085
"ISL",2014,3881.70373177,44290.46459891,13.37612692
"ISR",2014,2599.13225388,34929.31556553,10.74560835
"KAZ",2014,1068.06212381,24845.45413717,6.75460449
"KGZ",2014,215.05762807,3351.52867058,4.30659568
"LTU",2014,1718.02329039,28179.23471315,18.58317871
"LVA",2014,940.30243923,23907.64958416,19.22702683
"MDA",2014,514.21019947,5017.09363563,10.18997598
"MLT",2014,3071.62765078,33853.86703412,18.19751486
"NLD",2014,5201.6963766,49012.02179466,17.0888787
"NOR",2014,6346.61546337,65655.4594644,16.02805606
"POL",2014,1570.44646918,25707.48645669,15.19255013
"ROU",2014,1079.25833188,20796.96054367,15.16180241
"SRB",2014,1312.22306804,13806.01280835,18.24789495
"SWE",2014,5218.86073424,46404.74379129,19.51860692
"SVK",2014,2179.05100362,29020.07165801,13.74895292
"SVN",2014,2697.67107106,30994.75198079,17.67830491
"UKR",2014,584.23599726,8683.64084212,15.47253274
"UZB",2014,339.60620292,5657.64778054,3.99732502
